case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
01_kangshimei,1,TW-P-0768,小艾,19-24,學生,無收入,5-7萬,基隆市,5+,中,機車,1.5萬~3萬,中,3000~5000,無,無,不適用,5.0837
01_kangshimei,2,TW-P-0166,菲菲,19-24,學生,無收入,5-7萬,桃園市,5+,中,機車,5千~1.5萬,低,1500~3000,無,無,不適用,5.0656
01_kangshimei,3,TW-P-0878,小薇,19-24,學生,無收入,5-7萬,南投縣,2,極低,機車,<5千,低,500~1500,無,無,不適用,4.426
02_tesla,1,TW-P-0244,可恩,25-34,金融,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,6.9883
02_tesla,2,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,6.779
02_tesla,3,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,6.7156
03_fashion,1,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,5.2889
03_fashion,2,TW-P-0521,怡君,45-54,其他,>8萬,>8萬,高雄市,3,中,汽車,1.5萬~3萬,中,>5000,無,無,自營作業者,5.2474
03_fashion,3,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,5.2295
03_fashion,4,TW-P-0499,淑貞,45-54,製造,>8萬,>8萬,高雄市,5+,中,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,5.1595
03_fashion,5,TW-P-0239,安妮,25-34,科技,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,5.0585
03_fashion,6,TW-P-0387,麗美,35-44,教育,3-8萬,3-5萬,新北市,3,中高,汽車,5千~1.5萬,中,>5000,無,無,雇主,4.3977
03_fashion,7,TW-P-0383,美惠,35-44,其他,3-8萬,3-5萬,台中市,2,中高,汽車,5千~1.5萬,中,3000~5000,無,無,受僱者,4.3506
03_fashion,8,TW-P-0375,靜怡,35-44,公務,3-8萬,7萬,高雄市,4,中,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,4.2835
03_fashion,9,TW-P-0257,艾倫,25-34,教育,3-8萬,5-7萬,新北市,4,中高,機車,1.5萬~3萬,中,>5000,無,有信貸或卡債,受僱者,4.2387
03_fashion,10,TW-P-0516,怡君,45-54,家管,3-8萬,3-5萬,桃園市,2,中,汽車,5千~1.5萬,中,3000~5000,無,無,不適用,4.2178
04_role_fangzhong,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,2.5436
04_role_fangzhong,2,TW-P-0248,小奈,25-34,科技,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,>5000,無,無,受僱者,2.4615
04_role_fangzhong,3,TW-P-0279,柔伊,25-34,科技,3-8萬,7萬,桃園市,3,中,在家工作,5千~1.5萬,低,>5000,無,無,受僱者,2.4615
04_role_fangzhong,4,TW-P-0882,小傑,25-34,服務,<3萬,5-7萬,彰化縣,3,極低,捷運/公車,5千~1.5萬,低,500~1500,無,無,受僱者,2.4425
04_role_fangzhong,5,TW-P-0353,麗美,35-44,金融,3-8萬,7萬,台中市,4,中高,汽車,5千~1.5萬,低,>5000,無,無,受僱者,2.4416
05_role_banker,1,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,6.5494
05_role_banker,2,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,6.5399
05_role_banker,3,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,6.5399
05_role_banker,4,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,6.0195
05_role_banker,5,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,5.9312
06_aesthetic,1,TW-P-0891,菲菲,25-34,公務,3-8萬,5-7萬,南投縣,2,極低,步行/腳踏車,<5千,低,3000~5000,有,無,受僱者,2.5979
06_aesthetic,2,TW-P-0247,小薇,25-34,服務,3-8萬,3-5萬,高雄市,3,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,2.5174
06_aesthetic,3,TW-P-0280,莉亞,25-34,製造,3-8萬,3-5萬,桃園市,4,中,捷運/公車,5千~1.5萬,中,3000~5000,有,無,受僱者,2.5042
06_aesthetic,4,TW-P-0238,米亞,25-34,服務,3-8萬,3-5萬,桃園市,2,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,2.4695
06_aesthetic,5,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,2.4587
06_aesthetic,6,TW-P-0350,美惠,35-44,家管,3-8萬,3-5萬,新北市,2,中高,機車,5千~1.5萬,中,3000~5000,有,無,不適用,2.2708
06_aesthetic,7,TW-P-0512,慧君,45-54,家管,3-8萬,3-5萬,桃園市,2,中,在家工作,<5千,低,3000~5000,有,無,不適用,2.2623
06_aesthetic,8,TW-P-0372,麗卿,35-44,服務,3-8萬,3-5萬,台南市,2,低,汽車,<5千,低,>5000,有,無,受僱者,2.2601
06_aesthetic,9,TW-P-0361,麗華,35-44,醫療,3-8萬,7萬,台南市,4,低,汽車,5千~1.5萬,低,500~1500,有,無,受僱者,2.0022
06_aesthetic,10,TW-P-0513,婉玲,45-54,製造,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,1500~3000,有,有信貸或卡債,受僱者,1.8933
07_debt,1,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,4.6132
07_debt,2,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.4253
