case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,score
01_kangshimei,1,TW-P-0891,小薇,25-34,服務,>8萬,>8萬,南投縣,3,極低,機車,<5千,低,3000~5000,6.5499
01_kangshimei,2,TW-P-0398,麗華,35-44,公務,>8萬,>8萬,台中市,5+,中高,機車,5千~1.5萬,低,3000~5000,6.4962
01_kangshimei,3,TW-P-0907,淑娟,35-44,家管,>8萬,>8萬,雲林縣,3,極低,機車,<5千,低,500~1500,6.0622
02_tesla,1,TW-P-1000,麗華,35-44,科技,>8萬,>8萬,屏東縣,4,低,汽車,5千~1.5萬,低,>5000,7.7196
02_tesla,2,TW-P-0804,明義,45-54,科技,>8萬,>8萬,宜蘭縣,4,低,捷運/公車,1.5萬~3萬,中,3000~5000,7.4513
02_tesla,3,TW-P-0364,麗美,35-44,科技,>8萬,>8萬,高雄市,3,中,汽車,5千~1.5萬,低,3000~5000,7.3817
03_fashion,1,TW-P-0244,小莉,25-34,其他,>8萬,>8萬,台北市,3,高,機車,1.5萬~3萬,中,>5000,7.4629
03_fashion,2,TW-P-0480,麗華,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,7.4392
03_fashion,3,TW-P-0286,菲菲,25-34,服務,>8萬,>8萬,高雄市,3,中,機車,5千~1.5萬,低,>5000,7.1934
03_fashion,4,TW-P-0891,小薇,25-34,服務,>8萬,>8萬,南投縣,3,極低,機車,<5千,低,3000~5000,7.0044
03_fashion,5,TW-P-0213,班,25-34,科技,>8萬,>8萬,高雄市,3,中,機車,5千~1.5萬,低,3000~5000,6.5171
03_fashion,6,TW-P-0288,可恩,25-34,科技,>8萬,>8萬,桃園市,3,中,在家工作,5千~1.5萬,低,>5000,6.3944
03_fashion,7,TW-P-0337,建宏,35-44,自營,>8萬,>8萬,高雄市,5+,中,捷運/公車,1.5萬~3萬,中,1500~3000,6.3739
03_fashion,8,TW-P-0770,諾亞,25-34,科技,>8萬,>8萬,新竹縣,5+,高,汽車,1.5萬~3萬,中,3000~5000,6.345
