case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
01_kangshimei,1,TW-P-0768,小艾,19-24,學生,無收入,5-7萬,基隆市,5+,中,機車,1.5萬~3萬,中,3000~5000,無,無,不適用,4.2838
01_kangshimei,2,TW-P-0166,菲菲,19-24,學生,無收入,5-7萬,桃園市,5+,中,機車,5千~1.5萬,低,1500~3000,無,無,不適用,4.2658
01_kangshimei,3,TW-P-0170,小曦,19-24,學生,無收入,3-5萬,高雄市,3,中,汽車,<5千,低,1500~3000,無,無,不適用,4.0102
02_tesla,1,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,5.5906
02_tesla,2,TW-P-0341,世昌,35-44,其他,>8萬,>8萬,台北市,1,高,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,5.5739
02_tesla,3,TW-P-0475,淑貞,45-54,科技,>8萬,>8萬,台中市,1,中高,汽車,1.5萬~3萬,中,>5000,無,無,受僱者,5.4318
03_fashion,1,TW-P-0946,含笑,55-64,家管,>8萬,>8萬,苗栗縣,5+,低,汽車,5千~1.5萬,低,1500~3000,無,無,不適用,4.8281
03_fashion,2,TW-P-0304,志強,35-44,醫療,>8萬,>8萬,台中市,3,中高,捷運/公車,1.5萬~3萬,中,3000~5000,無,無,受僱者,4.7962
03_fashion,3,TW-P-0586,彩華,55-64,金融,>8萬,>8萬,台南市,5+,低,汽車,5千~1.5萬,低,3000~5000,無,無,受僱者,4.7848
03_fashion,4,TW-P-0593,秀英,55-64,金融,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,3000~5000,無,無,雇主,4.7848
03_fashion,5,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,4.7283
03_fashion,6,TW-P-0215,文森,25-34,科技,>8萬,>8萬,台南市,2,低,機車,5千~1.5萬,低,3000~5000,無,無,受僱者,4.6917
03_fashion,7,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,4.6689
03_fashion,8,TW-P-0521,怡君,45-54,其他,>8萬,>8萬,高雄市,3,中,汽車,1.5萬~3萬,中,>5000,無,無,自營作業者,4.6592
03_fashion,9,TW-P-0618,玉蘭,55-64,科技,>8萬,>8萬,台南市,1,低,汽車,<5千,低,3000~5000,無,無,受僱者,4.6328
03_fashion,10,TW-P-0803,瑞宏,45-54,科技,>8萬,>8萬,新竹縣,2,高,汽車,5千~1.5萬,低,>5000,無,無,受僱者,4.4753
04_role_fangzhong,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,4.8191
04_role_fangzhong,2,TW-P-0248,小奈,25-34,科技,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,>5000,無,無,受僱者,4.778
04_role_fangzhong,3,TW-P-0370,惠如,35-44,公務,>8萬,>8萬,桃園市,3,中,捷運/公車,<5千,低,1500~3000,無,無,受僱者,4.5933
04_role_fangzhong,4,TW-P-0795,淑貞,35-44,科技,>8萬,>8萬,新竹縣,3,高,在家工作,5千~1.5萬,低,>5000,無,無,受僱者,4.5687
04_role_fangzhong,5,TW-P-0901,信賢,35-44,科技,>8萬,>8萬,苗栗縣,3,低,機車,5千~1.5萬,低,1500~3000,無,無,受僱者,4.5687
05_role_banker,1,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.5545
05_role_banker,2,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,4.5363
05_role_banker,3,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.5273
05_role_banker,4,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.5273
05_role_banker,5,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,4.4985
06_aesthetic,1,TW-P-0247,小薇,25-34,服務,3-8萬,3-5萬,高雄市,3,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,3.6899
06_aesthetic,2,TW-P-0238,米亞,25-34,服務,3-8萬,3-5萬,桃園市,2,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,3.642
06_aesthetic,3,TW-P-0372,麗卿,35-44,服務,3-8萬,3-5萬,台南市,2,低,汽車,<5千,低,>5000,有,無,受僱者,3.4326
06_aesthetic,4,TW-P-0350,美惠,35-44,家管,3-8萬,3-5萬,新北市,2,中高,機車,5千~1.5萬,中,3000~5000,有,無,不適用,3.4179
06_aesthetic,5,TW-P-0512,慧君,45-54,家管,3-8萬,3-5萬,桃園市,2,中,在家工作,<5千,低,3000~5000,有,無,不適用,3.4094
07_debt,1,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,4.6016
07_debt,2,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.4136
07_debt,3,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,4.3666
07_debt,4,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,4.3644
07_debt,5,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.3592
07_debt,6,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.3592
07_debt,7,TW-P-0593,秀英,55-64,金融,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,3000~5000,無,無,雇主,3.8542
07_debt,8,TW-P-0341,世昌,35-44,其他,>8萬,>8萬,台北市,1,高,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,3.7898
07_debt,9,TW-P-0570,國華,55-64,金融,>8萬,>8萬,桃園市,3,中,汽車,1.5萬~3萬,中,<500,無,無,受僱者,3.7808
07_debt,10,TW-P-0547,木火,55-64,服務,>8萬,>8萬,台南市,5+,低,機車,1.5萬~3萬,中,<500,無,無,自營作業者,3.753
08_boss,1,TW-P-0782,米亞,25-34,教育,<3萬,1-3萬,新竹市,1,中高,捷運/公車,<5千,低,1500~3000,無,無,受僱者,3.2645
