case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
01_kangshimei,1,TW-P-0768,小艾,19-24,學生,無收入,5-7萬,基隆市,5+,中,機車,1.5萬~3萬,中,3000~5000,無,無,不適用,4.2342
01_kangshimei,2,TW-P-0183,艾倫,19-24,製造,<3萬,5-7萬,台中市,5+,中高,機車,1.5萬~3萬,中,3000~5000,無,無,受僱者,4.2031
01_kangshimei,3,TW-P-0171,可恩,19-24,學生,無收入,5-7萬,台南市,2,低,汽車,1.5萬~3萬,中,>5000,無,無,不適用,4.16
03_fashion,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,5.9276
03_fashion,2,TW-P-0215,文森,25-34,科技,>8萬,>8萬,台南市,2,低,機車,5千~1.5萬,低,3000~5000,無,無,受僱者,5.8084
03_fashion,3,TW-P-0304,志強,35-44,醫療,>8萬,>8萬,台中市,3,中高,捷運/公車,1.5萬~3萬,中,3000~5000,無,無,受僱者,5.7908
03_fashion,4,TW-P-0239,安妮,25-34,科技,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,5.7567
03_fashion,5,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,5.7098
03_fashion,6,TW-P-0521,怡君,45-54,其他,>8萬,>8萬,高雄市,3,中,汽車,1.5萬~3萬,中,>5000,無,無,自營作業者,5.6683
03_fashion,7,TW-P-0499,淑貞,45-54,製造,>8萬,>8萬,高雄市,5+,中,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,5.6062
03_fashion,8,TW-P-0803,瑞宏,45-54,科技,>8萬,>8萬,新竹縣,2,高,汽車,5千~1.5萬,低,>5000,無,無,受僱者,5.5388
03_fashion,9,TW-P-0303,瑞宏,35-44,製造,>8萬,>8萬,新北市,4,中高,步行/腳踏車,1.5萬~3萬,中,1500~3000,無,有信貸或卡債,受僱者,4.7222
03_fashion,10,TW-P-0476,素芬,45-54,家管,>8萬,>8萬,桃園市,2,中,汽車,5千~1.5萬,低,1500~3000,無,無,不適用,4.6897
04_role_fangzhong,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,4.8557
