case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,score
01_kangshimei,1,TW-P-0768,小艾,19-24,學生,無收入,5-7萬,基隆市,5+,中,機車,1.5萬~3萬,中,3000~5000,無,無,不適用,5.0417
01_kangshimei,2,TW-P-0178,愛莎,19-24,學生,無收入,>8萬,高雄市,4,中,機車,1.5萬~3萬,中,>5000,無,無,不適用,5.0004
01_kangshimei,3,TW-P-0176,菲菲,19-24,科技,3-8萬,5-7萬,台南市,3,低,機車,<5千,低,>5000,無,無,受僱者,4.8307
02_tesla,1,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,5.6092
02_tesla,2,TW-P-0253,小艾,25-34,醫療,>8萬,>8萬,桃園市,3,中,機車,5千~1.5萬,低,>5000,無,無,受僱者,5.304
02_tesla,3,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,5.2276
03_fashion,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,5.2474
03_fashion,2,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,5.084
03_fashion,3,TW-P-0239,安妮,25-34,科技,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,5.0764
03_fashion,4,TW-P-0521,怡君,45-54,其他,>8萬,>8萬,高雄市,3,中,汽車,1.5萬~3萬,中,>5000,無,無,自營作業者,5.0425
03_fashion,5,TW-P-0499,淑貞,45-54,製造,>8萬,>8萬,高雄市,5+,中,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,4.9546
03_fashion,6,TW-P-0375,靜怡,35-44,公務,3-8萬,7萬,高雄市,4,中,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,3.9697
03_fashion,7,TW-P-0257,艾倫,25-34,教育,3-8萬,5-7萬,新北市,4,中高,機車,1.5萬~3萬,中,>5000,無,有信貸或卡債,受僱者,3.8485
03_fashion,8,TW-P-0889,米亞,25-34,公務,3-8萬,5-7萬,彰化縣,2,極低,步行/腳踏車,5千~1.5萬,低,3000~5000,無,無,受僱者,3.7804
03_fashion,9,TW-P-0794,怡君,35-44,公務,3-8萬,>8萬,新竹縣,4,高,捷運/公車,1.5萬~3萬,中,>5000,無,無,受僱者,3.7047
03_fashion,10,TW-P-0271,小薇,25-34,科技,3-8萬,5-7萬,桃園市,2,中,在家工作,1.5萬~3萬,中,>5000,無,無,受僱者,3.6805
04_role_fangzhong,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,4.9073
04_role_fangzhong,2,TW-P-0248,小奈,25-34,科技,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,>5000,無,無,受僱者,4.7842
04_role_fangzhong,3,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,4.6895
04_role_fangzhong,4,TW-P-0370,惠如,35-44,公務,>8萬,>8萬,桃園市,3,中,捷運/公車,<5千,低,1500~3000,無,無,受僱者,4.6488
04_role_fangzhong,5,TW-P-0795,淑貞,35-44,科技,>8萬,>8萬,新竹縣,3,高,在家工作,5千~1.5萬,低,>5000,無,無,受僱者,4.5749
05_role_banker,1,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,4.4629
05_role_banker,2,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,4.4343
