case,rank,id,name,age,occupation,income,family_income,residence,family_size,city_price_tier,commute_mode,housing_cost,housing_burden,clothing_spend,aesthetic_procedure,debt_status,employment_status,sex,region,education,marriage,hobby,politics,media_diet,score
01_kangshimei,1,TW-P-0250,凱琳,25-34,製造,<3萬,5-7萬,桃園市,2,中,捷運/公車,<5千,低,3000~5000,無,無,受僱者,女,都會區(六都),研究所以上,未婚,"['登山', '閱讀']",白/第三勢力,社群為主,3.318
01_kangshimei,2,TW-P-0777,米亞,25-34,製造,<3萬,5-7萬,新竹縣,2,高,機車,1.5萬~3萬,中,3000~5000,無,無,受僱者,女,北部,大學,未婚,"['打電動', '烹飪', '球類']",泛綠,社群為主,3.318
01_kangshimei,3,TW-P-0246,若希,25-34,公務,<3萬,3-5萬,台北市,5+,高,捷運/公車,5千~1.5萬,中,3000~5000,無,無,受僱者,女,都會區(六都),大學,已婚,"['打電動', '球類', '追劇']",泛藍,混合,3.2288
02_tesla,1,TW-P-0244,可恩,25-34,金融,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,女,都會區(六都),研究所以上,已婚,"['球類', '登山']",泛綠,混合,7.3971
02_tesla,2,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,男,都會區(六都),研究所以上,未婚,"['打電動', '球類']",泛藍,傳統媒體為主,7.1321
02_tesla,3,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,男,都會區(六都),大學,已婚,"['打電動', '球類', '追劇']",無政治傾向,混合,7.1245
03_fashion,1,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,男,都會區(六都),大學,已婚,"['打電動', '球類', '追劇']",無政治傾向,混合,4.5505
03_fashion,2,TW-P-0253,小艾,25-34,醫療,>8萬,>8萬,桃園市,3,中,機車,5千~1.5萬,低,>5000,無,無,受僱者,女,都會區(六都),大學,未婚,"['追劇', '閱讀']",泛藍,混合,4.5323
03_fashion,3,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,女,都會區(六都),高中,已婚,"['游泳', '登山', '逛街購物']",泛藍,國際來源,4.5045
03_fashion,4,TW-P-0341,世昌,35-44,其他,>8萬,>8萬,台北市,1,高,汽車,1.5萬~3萬,中,3000~5000,無,無,受僱者,男,都會區(六都),國中以下,鰥寡,"['烹飪', '追劇', '閱讀']",泛綠,混合,4.445
03_fashion,5,TW-P-0244,可恩,25-34,金融,>8萬,>8萬,新北市,2,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,女,都會區(六都),研究所以上,已婚,"['球類', '登山']",泛綠,混合,4.4327
03_fashion,6,TW-P-0285,安妮,25-34,金融,>8萬,>8萬,新北市,2,中高,捷運/公車,1.5萬~3萬,中,>5000,無,無,受僱者,女,都會區(六都),大學,未婚,"['球類', '追劇', '閱讀']",泛綠,混合,4.4327
03_fashion,7,TW-P-0304,志強,35-44,醫療,>8萬,>8萬,台中市,3,中高,捷運/公車,1.5萬~3萬,中,3000~5000,無,無,受僱者,男,都會區(六都),大學,未婚,"['泡茶', '登山', '逛街購物']",白/第三勢力,社群為主,4.3749
03_fashion,8,TW-P-0277,可恩,25-34,科技,>8萬,>8萬,台北市,4,高,汽車,1.5萬~3萬,中,>5000,無,無,受僱者,女,都會區(六都),大學,未婚,"['打電動', '球類', '追劇']",泛綠,社群為主,4.3605
03_fashion,9,TW-P-0220,傑,25-34,科技,>8萬,>8萬,台中市,3,中高,機車,1.5萬~3萬,中,>5000,無,無,受僱者,男,都會區(六都),研究所以上,已婚,"['園藝', '閱讀']",泛綠,社群為主,4.3404
03_fashion,10,TW-P-0233,大衛,25-34,科技,>8萬,>8萬,台北市,3,高,捷運/公車,1.5萬~3萬,中,>5000,無,無,受僱者,男,都會區(六都),國中以下,未婚,"['打電動', '游泳', '閱讀']",泛藍,國際來源,4.3404
04_role_fangzhong,1,TW-P-0275,米亞,25-34,金融,>8萬,>8萬,台南市,3,低,步行/腳踏車,5千~1.5萬,低,>5000,無,無,受僱者,女,都會區(六都),高中,已婚,"['游泳', '登山', '逛街購物']",泛藍,國際來源,6.0815
04_role_fangzhong,2,TW-P-0484,慧君,45-54,金融,>8萬,>8萬,台南市,3,低,機車,5千~1.5萬,低,>5000,無,無,自營作業者,女,都會區(六都),大學,已婚,"['打牌', '逛街購物', '閱讀']",泛綠,傳統媒體為主,5.8909
04_role_fangzhong,3,TW-P-0370,惠如,35-44,公務,>8萬,>8萬,桃園市,3,中,捷運/公車,<5千,低,1500~3000,無,無,受僱者,女,都會區(六都),研究所以上,已婚,"['登山', '追劇']",白/第三勢力,社群為主,5.7775
04_role_fangzhong,4,TW-P-0248,小奈,25-34,科技,>8萬,>8萬,台南市,3,低,捷運/公車,<5千,低,>5000,無,無,受僱者,女,都會區(六都),大學,已婚,"['打電動', '追劇']",泛藍,國際來源,5.7141
04_role_fangzhong,5,TW-P-0490,麗卿,45-54,科技,>8萬,>8萬,台南市,3,低,汽車,<5千,低,>5000,無,無,受僱者,女,都會區(六都),研究所以上,已婚,"['烹飪', '閱讀']",泛綠,傳統媒體為主,5.5235
05_role_banker,1,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,男,都會區(六都),研究所以上,已婚,"['追劇', '閱讀']",泛綠,國際來源,5.5738
05_role_banker,2,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,女,都會區(六都),研究所以上,已婚,"['游泳', '球類']",泛藍,混合,5.3838
05_role_banker,3,TW-P-0234,艾力克,25-34,金融,>8萬,>8萬,台南市,4,低,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,男,都會區(六都),大學,已婚,"['打電動', '球類', '追劇']",無政治傾向,混合,5.3769
05_role_banker,4,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,男,都會區(六都),研究所以上,未婚,"['打電動', '球類']",泛藍,傳統媒體為主,5.3389
05_role_banker,5,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,男,北部,大學,已婚,"['打電動', '登山']",無政治傾向,傳統媒體為主,5.3293
06_aesthetic,1,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,女,都會區(六都),研究所以上,已婚,"['游泳', '球類']",泛藍,混合,5.0093
06_aesthetic,2,TW-P-0513,婉玲,45-54,製造,>8萬,>8萬,台中市,5+,中高,機車,1.5萬~3萬,中,1500~3000,有,有信貸或卡債,受僱者,女,都會區(六都),大學,未婚,"['打電動', '烹飪']",白/第三勢力,傳統媒體為主,4.4439
06_aesthetic,3,TW-P-0891,菲菲,25-34,公務,3-8萬,5-7萬,南投縣,2,極低,步行/腳踏車,<5千,低,3000~5000,有,無,受僱者,女,中部,大學,已婚,"['游泳', '烹飪', '音樂']",白/第三勢力,混合,4.0123
06_aesthetic,4,TW-P-0361,麗華,35-44,醫療,3-8萬,7萬,台南市,4,低,汽車,5千~1.5萬,低,500~1500,有,無,受僱者,女,都會區(六都),大學,未婚,"['球類', '登山', '追劇']",泛綠,國際來源,3.682
06_aesthetic,5,TW-P-0247,小薇,25-34,服務,3-8萬,3-5萬,高雄市,3,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,女,都會區(六都),大學,未婚,"['打電動', '烹飪', '球類']",白/第三勢力,社群為主,3.6663
06_aesthetic,6,TW-P-0280,莉亞,25-34,製造,3-8萬,3-5萬,桃園市,4,中,捷運/公車,5千~1.5萬,中,3000~5000,有,無,受僱者,女,都會區(六都),研究所以上,已婚,"['烹飪', '追劇']",泛綠,社群為主,3.6598
06_aesthetic,7,TW-P-0238,米亞,25-34,服務,3-8萬,3-5萬,桃園市,2,中,機車,5千~1.5萬,中,>5000,有,無,受僱者,女,都會區(六都),研究所以上,已婚,"['追劇', '閱讀']",無政治傾向,社群為主,3.5945
06_aesthetic,8,TW-P-0350,美惠,35-44,家管,3-8萬,3-5萬,新北市,2,中高,機車,5千~1.5萬,中,3000~5000,有,無,不適用,女,都會區(六都),研究所以上,已婚,"['打電動', '追劇']",無政治傾向,混合,3.3958
06_aesthetic,9,TW-P-0512,慧君,45-54,家管,3-8萬,3-5萬,桃園市,2,中,在家工作,<5千,低,3000~5000,有,無,不適用,女,都會區(六都),大學,已婚,"['游泳', '逛街購物']",泛綠,混合,3.3873
06_aesthetic,10,TW-P-0372,麗卿,35-44,服務,3-8萬,3-5萬,台南市,2,低,汽車,<5千,低,>5000,有,無,受僱者,女,都會區(六都),國中以下,已婚,"['追劇', '閱讀']",無政治傾向,社群為主,3.3851
07_debt,1,TW-P-0328,俊傑,35-44,製造,>8萬,>8萬,桃園市,5+,中,步行/腳踏車,1.5萬~3萬,中,<500,無,房貸+消費債,自營作業者,男,都會區(六都),研究所以上,已婚,"['追劇', '閱讀']",泛綠,國際來源,4.7287
07_debt,2,TW-P-0473,淑娟,45-54,其他,>8萬,>8萬,高雄市,5+,中,機車,1.5萬~3萬,中,>5000,有,有房貸,受僱者,女,都會區(六都),研究所以上,已婚,"['游泳', '球類']",泛藍,混合,4.5929
07_debt,3,TW-P-0388,美珍,35-44,教育,>8萬,>8萬,台中市,3,中高,汽車,1.5萬~3萬,中,>5000,無,有房貸,受僱者,女,都會區(六都),研究所以上,已婚,"['園藝', '登山', '追劇']",泛綠,混合,4.5541
07_debt,4,TW-P-0331,正雄,35-44,科技,>8萬,>8萬,新北市,5+,中高,汽車,1.5萬~3萬,中,3000~5000,無,有房貸,雇主,男,都會區(六都),研究所以上,未婚,"['打電動', '球類']",泛藍,傳統媒體為主,4.5208
07_debt,5,TW-P-0811,志強,45-54,科技,>8萬,>8萬,基隆市,5+,中,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,男,北部,大學,已婚,"['打電動', '登山']",無政治傾向,傳統媒體為主,4.5112
07_debt,6,TW-P-0929,麗華,45-54,科技,>8萬,>8萬,彰化縣,5+,極低,捷運/公車,1.5萬~3萬,中,3000~5000,無,有房貸,受僱者,女,中部,大學,鰥寡,"['打電動', '登山']",無政治傾向,社群為主,4.5112
07_debt,7,TW-P-1019,寶珠,55-64,科技,3-8萬,7萬,嘉義縣,4,低,機車,1.5萬~3萬,中,1500~3000,無,有房貸,受僱者,女,南部,大學,已婚,"['烹飪', '登山', '閱讀']",無政治傾向,傳統媒體為主,2.8749
07_debt,8,TW-P-0400,惠雯,35-44,公務,3-8萬,5-7萬,台北市,2,高,機車,1.5萬~3萬,中,3000~5000,無,房貸+消費債,受僱者,女,都會區(六都),高中,已婚,"['逛街購物', '閱讀']",無政治傾向,混合,2.7719
