case,rank,id,name,score,sex,age,employment_status,aesthetic_procedure,debt_status,housing_burden,region
01_kangshimei,1,TW-P-0505,雅雯,3.3079,女,45-54,受僱者,無,無,低,都會區(六都)
01_kangshimei,2,TW-P-0353,麗美,3.2756,女,35-44,受僱者,無,無,低,都會區(六都)
01_kangshimei,3,TW-P-0265,小奈,3.256,女,25-34,受僱者,無,無,中,都會區(六都)
02_tesla,1,TW-P-0244,可恩,6.4771,女,25-34,受僱者,無,無,中,都會區(六都)
02_tesla,2,TW-P-0331,正雄,6.3984,男,35-44,雇主,無,有房貸,中,都會區(六都)
02_tesla,3,TW-P-0490,麗卿,6.2428,女,45-54,受僱者,無,無,低,都會區(六都)
03_fashion,1,TW-P-0234,艾力克,3.9264,男,25-34,受僱者,無,有房貸,中,都會區(六都)
03_fashion,2,TW-P-0253,小艾,3.9045,女,25-34,受僱者,無,無,低,都會區(六都)
03_fashion,3,TW-P-0275,米亞,3.8871,女,25-34,受僱者,無,無,低,都會區(六都)
03_fashion,4,TW-P-0244,可恩,3.8392,女,25-34,受僱者,無,無,中,都會區(六都)
03_fashion,5,TW-P-0285,安妮,3.8392,女,25-34,受僱者,無,無,中,都會區(六都)
03_fashion,6,TW-P-0341,世昌,3.8104,男,35-44,受僱者,無,無,中,都會區(六都)
03_fashion,7,TW-P-0277,可恩,3.798,女,25-34,受僱者,無,無,中,都會區(六都)
03_fashion,8,TW-P-0220,傑,3.7846,男,25-34,受僱者,無,無,中,都會區(六都)
03_fashion,9,TW-P-0233,大衛,3.7846,男,25-34,受僱者,無,無,中,都會區(六都)
03_fashion,10,TW-P-0248,小奈,3.7846,女,25-34,受僱者,無,無,低,都會區(六都)
04_role_fangzhong,1,TW-P-0275,米亞,5.4206,女,25-34,受僱者,無,無,低,都會區(六都)
04_role_fangzhong,2,TW-P-0248,小奈,5.4194,女,25-34,受僱者,無,無,低,都會區(六都)
04_role_fangzhong,3,TW-P-0370,惠如,5.2956,女,35-44,受僱者,無,無,低,都會區(六都)
04_role_fangzhong,4,TW-P-0484,慧君,5.1891,女,45-54,自營作業者,無,無,低,都會區(六都)
04_role_fangzhong,5,TW-P-0490,麗卿,5.1879,女,45-54,受僱者,無,無,低,都會區(六都)
05_role_banker,1,TW-P-0811,志強,6.2945,男,45-54,受僱者,無,有房貸,中,北部
05_role_banker,2,TW-P-0449,世昌,5.8337,男,45-54,受僱者,無,無,中,都會區(六都)
05_role_banker,3,TW-P-0473,淑娟,5.67,女,45-54,受僱者,有,有房貸,中,都會區(六都)
05_role_banker,4,TW-P-0334,永信,5.5925,男,35-44,受僱者,無,無,中,都會區(六都)
05_role_banker,5,TW-P-0909,淑娟,5.5925,女,35-44,受僱者,無,無,中,中部
06_aesthetic,1,TW-P-0473,淑娟,3.1747,女,45-54,受僱者,有,有房貸,中,都會區(六都)
06_aesthetic,2,TW-P-0513,婉玲,3.012,女,45-54,受僱者,有,有信貸或卡債,中,都會區(六都)
06_aesthetic,3,TW-P-0361,麗華,2.2444,女,35-44,受僱者,有,無,低,都會區(六都)
06_aesthetic,4,TW-P-0891,菲菲,2.2219,女,25-34,受僱者,有,無,低,中部
06_aesthetic,5,TW-P-0465,志豪,2.1066,男,45-54,受僱者,有,無,中,都會區(六都)
06_aesthetic,6,TW-P-0627,含笑,2.1019,女,55-64,不適用,有,無,中,都會區(六都)
06_aesthetic,7,TW-P-0247,小薇,2.0432,女,25-34,受僱者,有,無,中,都會區(六都)
06_aesthetic,8,TW-P-0280,莉亞,2.0041,女,25-34,受僱者,有,無,中,都會區(六都)
06_aesthetic,9,TW-P-0238,米亞,1.9953,女,25-34,受僱者,有,無,中,都會區(六都)
06_aesthetic,10,TW-P-1051,美雲,1.9124,女,55-64,不適用,有,無,中,花東
